"Date","unemployment","tourists","gdp","confidence"
2017-01-01,5.29054191426817,549816,1.408679,115.319086281604
2017-02-01,5.14380766981927,561622,1.408679,113.495435614825
2017-03-01,4.78975502584767,696325,1.408679,114.031803457995
2017-04-01,4.38835070928639,867699,2.443518,113.709982752093
2017-05-01,4.11719314686635,941760,2.443518,113.709982752093
2017-06-01,3.96882932265644,978368,2.443518,111.349964242144
2017-07-01,4.06882258688725,1096690,0.49272,110.813596398974
2017-08-01,3.97856691390024,1112965,0.49272,113.173614908923
2017-09-01,3.80167125400245,957834,0.49272,114.568171301165
2017-10-01,3.60106448109445,926941,0.635931,114.031803457995
2017-11-01,3.5,684699,0.635931,115.640906987506
2017-12-01,3.77029826708923,785749,0.635931,115.319086281604
2018-01-01,3.89392475447131,596166,0.492686,117.786378360187
2018-02-01,3.74547381731033,622431,0.492686,117.464557654285
2018-03-01,3.49540443591594,798028,0.492686,118.322746203357
2018-04-01,3.19848308725967,856073,0.588938,118.000925497455
2018-05-01,3.01282193832383,988443,0.588938,119.395481889698
2018-06-01,2.94067388049554,974251,0.588938,118.537293340625
2018-07-01,3.06489709675936,1133027,0.630808,117.250010517017
2018-08-01,3.05244333744673,1154962,0.630808,115.640906987506
2018-09-01,2.96073411189626,979590,0.630808,116.391821967944
2018-10-01,2.82610706785364,946003,0.892343,117.464557654285
2018-11-01,2.81495537328087,737491,0.892343,112.100879222582
2018-12-01,3.07069213860143,824929,0.892343,114.568171301165
2019-01-01,3.25579672838364,606267,0.585351,114.568171301165
2019-02-01,3.19693435978388,640252,0.585351,111.564511379412
2019-03-01,2.99071143930021,760098,0.585351,109.740860712633
2019-04-01,2.74893869820455,903727,0.496594,108.882672163561
2019-05-01,2.62300536523825,1005902,0.496594,110.277228555803
2019-06-01,2.56724362301419,1037511,0.496594,110.277228555803
2019-07-01,2.71892113452365,1164928,0.375784,111.564511379412
2019-08-01,2.7221284865917,1192978,0.375784,110.277228555803
2019-09-01,2.67091805769527,973314,0.375784,108.34630432039
2019-10-01,2.58787508997044,987045,0.330304,108.668125026293
2019-11-01,2.59184798047532,756016,0.330304,106.951747928148
2019-12-01,2.86837129819575,862462,0.330304,109.955407849901
